content,sentiment
generally work great time open app open blank white screen press button arrive home screen super weird behaviour believe fix happen month edit bad ux impossible amazon fresh code search get ad prime open app despite prime member surely amazon able target popups,-1
amazon prime absolutely amaze great product great price ship right door,1
hello change phone number connect tomy account plus tip particular apps show ask try reach customer service connect long distance call easy reach customer service line mail need improvement,-1
outstanding order difficult small upgrade sort outstanding order update marketplace order deliver hugely beneficial,-1
like alot easy love variety item choose,1
far pleased amazon experience order bath suit aside go vacation vacation try past kneesit size xr need ordered x idea return credit exchange help problem need thank help,1
amazon easy use easy maintain use mobile version desktop version,1
feel sluggish unresponsive time backstack doesnt work expect shop amazon phone lot like fully native experience webviews add feature search text like ctrl f browser easily keywords product description,-1
new update terrible user friendly allow option hide disable alexa icon right accidentally tap scroll,-1
terrible time amazon us native app web view experience feel slow,-1
easy great deal read description order dont rip shady seller,1
amazon smile turn notification turn dont need notification let donate use smaile service amazon care charity shouldnt need turn notification use amazon smile tut tut,-1
love amazon easy convinent time cheap variety look year continue prime make experience well,1
doesnt love amazon site offer wide range deal steal day give time fast shipping amaze customer service help need easy return process option credit account refund pmt tender happy faithful amazon customer prime member,1
slow app additionally previous order data load second sits grind fail load order information time fix,-1
unable create review answer question refuse explain send email amazon resolve apparently inept best thats happen business outsource hodji order deliver june longer amazon inept app star star,-1
convenient easy thing price isnt amazon fault thing critique amazon occasionally item deliver wrong place save grace dont youre wrong overall im happy especially recluse,1
unfortunately year prime member delete account today get tired amazon ship item order pad envelope leave bad review damage item remove order replacement item thing amazon support awful goodbye amazon,-1
world finger tip self restraint key credit card fast,1
app easy navigate good response search criterion,1
like app l dont like get help get english item order come wrong asked replacement right size twice wrong item get twice dont know use overall happy app,1
amazon prime awesome customer service helpful problem solve customer thank amazon,1
live stream super anoying start play try scroll past wishlists super buggy word space list wrong jump skip scroll item appear duplicate dont delete icon long remove item default list image bug,-1
shame amazon doesnt connection country company need vitamin amazon brazil dont exist amazon uk amazon deliver uk disappointed amazon,-1
everytime try open account order history complete order app white load screen get ready delete app phone work fine year,-1
star challenge consistent crash app perform certain action intuitive great recommendation alternative product,-1
amazon claim ive sort violation ive leave reviews product thats interest ive rat song ive inappropriate say rude fun deal attorney general,-1
wait year delivery instruction follow dislike orange pop ups youre shopping make want use app anymore think ill use google instead theyre bad,-1
dont eye amazon youre bound miss great deal improvement think there lot advantage schlepping rest let economy drag,1
love app easy purchase item love item reasonable unlike try price gouge want people,1
mean good quality stuff say free delivery pay delivery think thing free delivery good app,1
quick easy way shop especially christmas time away crowd shopping centre like beauty thing item deliver straight door good gift wrap,1
frustrate change comicbook buying purchase amazon website amazon app kindle app comixoligy app ive finding book series easy end comixoligy app book open website try series new book buy,1
past month amazon horrific terrible customer service take india glitch app poor quality merchandise nearly impossible refund greedy penny pinch new way ice cakewe buy digital book anymore amazon kindle amazon b ive cancel prime membership permanently shop amazon,-1
online shopping apps available amazon fave far easy return product dont fit website description question ask honest course honesty best policy buying product online,1
lock purchase good thing order separately get hold right purchase ask wanted continue shop end shopping hold money item able log make feel robbed,-1
account able switch forth new restriction cause able switch inconvenient,-1
convenientand love customer serviceif need helpful courteous,1
long buy kindle book app open website ridiculous situation google amazon work customer live easy corporate greed petty point scoring,-1
absolutely love use app shop thanks million amazon updated version fantastic ui great smooth love button buy order track superb bring dad stick early birthday gift think great stream service roof,1
idk id convenience amazon shopping certain personal item everyday need love ️,1
stand look order app load forever alternate wifi data provider doesnt fix issue app respond perfectly fix get aggravate,-1
great shop need especially pet reliable back amazon guarantee vendor fail customer,1
great need want great price definitely recommend app life change,1
dreadfully app repeatedly show dozen item unrelated search sacrifice item justs waste time apply filter make bad bad shame amazon,-1
update ruin account updated app otp doesnt send otp email lock account thanks amazon like close account refund prime access prime,-1
prime good mean day prime item specify delivery day prime item set day,1
little trouble navigate app exemplary customer service smooth wrinkle customer service make shop amazon pleasure initial headache lol thanks amazon,1
big thumb new track delivery amazon delivery driver track broken delivery driver area like drive circle watch house twice map minute supposedly stop mile area,-1
satisfied huge selection generally great customer service mind low price,1
cancel email notification app push notification email annoy,1
loop option im try return item extremely drain wait month say lose point actually return refund cause say speak seller amazon seller talk customer support item talk seller amazon seller item talk sellerawful experience overwhelmingly discourage appearantly im guess ill kick rock,-1
shop book kindle app add prominent link kindle store,1
want star im give absolutely insane amazon hide signout button right maybe click away click line scroll click setting scroll there signout hope star generates attention day age cyber security important huge flaw,-1
amazon daily deal amaze low price day search annoy ad shop website thats lay great thanks scene ppl dont credit appreciate hard work,1
work update soon open message go wrong end year prior issue hope fix soon update dev advise update work late update wigh somthhing go wrong end message update update thing bad update unusable crash freezes picture dog amazon real android devs,-1
great app usually im look wish dvd specifically country buy,1
nd review star cancel member staff didnt care want pay help tell issue end contact bank rubbish membership account money approval send banking app rubbish service staff care cancel membership help offer laughable,-1
improve cleaner efficient great relevance push add greatly diminished navigation little awkward common task track order status require mush navigation suggestion order combination edit prior shipment reduce email notification,1
app work great new layout easy use button easily thing order bit faff easy use previous version,1
dude halfway time amazon add simple option enable dark mode android phone seriously simple toggle like literally app low star review basic feature add,-1
update buy apps isnt prime stream platform like starz way buy stuff want think website honesty amazon pay google digital good theyre put hell quick buck disappointing im expect week people go notice apps rating drop theyll suffer pay,-1
didnt use acct mths go sign forgot password big deal right chance horrible support office take day diff rep accidental time hang refuse attempt speak supervisor tell old address yr ago wouldnt able sign mention madness try update old credit cardbye,-1
love shopping amazon love prompt easy shop check thats great customer service thank,1
thank amazon make delivery convenient pick return policybwas bit confuse manageable phone agent outta world knowledge extraordinary imporyant thanjs folk hub pkg handler lastly amazon ive look company progressive entity say idea allow irreplaceable worker unionizewould notable definitely historyworthy,1
language key find stuff frustrate app need disable app eneble update keep change english french ask change french idgaf quebecs provical law engilsh french personal preference personal bilions amazon worth think language preferrences available app easy minimum user,-1
like price support team dont pay attention explain issue today lawnmower order come bolt defective nut wont way try explain customer support intelligent person start tell check power connection fuse box say absolutely noth turn issue support team,-1
free return help feel well purchase product im sure favorite feature amazon prime,1
want amazon provide numerous selection differ style color price perk benefit offer,1
amazon definitely go rubbish call update buy film buy film amazon prime movie prime movie say say buy answer answer help think amazon brilliant theyve go theyve go downhill theyve try good doesnt need fix bad job amazon,-1
good app easy navigate wish stop show thing relate search hey thats form advertising,1
easy checkout discount time shop amazon app seamless shopping cell phone love app,1
way rid alexa button way edit alexa setting follow instruction impossible clean recommend list constantly refresh lose place photo dont load video dont load survey cast vote scroll past pic text dont know accidentally vote,-1
awesome way make shop easy vegetarian food like,1
hard load order page keep tell go wrong hop new update fix go order track page,-1
live amazon shopping application dependent get well update,1
take money consent twice click take money secretly sign prime dont ask thats want inform hard cancel money wonder poor people old one money take account month go amazon unable money dont know take stop coz u aka legal loophole doesnt mean u stop,-1
star app work ok nice use fingerprint log confirm order transaction additional security requirement credit card need dark theme home menu busy doesnt allow customize menu,-1
fin best stuff order amazon prime new favorite shopping app best quality app best,1
horrible send wrong thing different time instead fix problem easy way want return item tie money day customer service idiot use amazon,-1
love app nice language wouldnt change spanish update,1
amazon new ebay scalper account amazon ridiculous scalp stuff need basic stuff like sock fan,-1
terrible update menu change wish list user friendly,-1
love amazon time time item dont work prime benefit lil high price guess worth ship dont like prime music audible individually price month use amazon buy live cost high sheeeeesh,1
love amazon easy convenient amazon save time especially minute purchase,1
absolute favorite place shop thing didnt think compare shop like quality like speed delivery customer service top,1
use app real shop customer service terrible customer service help get told help anybody fraudulent charge card ive lose money account lock hang,-1
love amazon use afford new granddaughter way easy shop amazon love amazon prime free shipping awesome,1
need like amazon stock day order amazon im look pleased satisfied amazon order,1
constant late delivery prime worth anymore renew subscription,-1
order item amazon couple minor problem exceptional recommend amazon want quality product affordable price order remember save star customer satisfaction,1
love shopping easy understand find thing easy helpful place online need price deliverys rite thanks deb,1
source caters need provide reasonable price bulk item come handy subscription medical product useful proud member prime membership nearly year program bountiful use amazon truly amazing,1
lose trust company company get billed amazon prime amazon music charge year subscription fee ask rd package order lose deliver wrong address,-1
good app need issue customer service quickly address resolve issue,1
apparently update recently associate app freeze look previous order samsung phone previously work perfectly,1
motion movement make dizzy feel stressed id love accessibility option thing simple,-1
love shopping amazon item fast good quality item havent gotten amazon need ship amazon star,1
amazon grocery gym equipmentglasses supplement dont pleased deal store gas price way save monet way baby product membership brainer,1
amazon start prime membership authorization action behalf good job lose customer good dont people money permission,-1
app good weird design choice example feature switch personal business account order business stuff business account switch personal account cause forget design button link trap log button business screen force uninstall reinstall app log personal account bad design thinking,-1
nothing perfect human thanks employee bust tails life easy,1
super convenient best price balance good customer service,1
pride advertisement gay ad ive cancel service remove app opt option believe content inappropriate,-1
great place order need asap longer benefit prume ship consistently arrive late stop advertising day ship deliver time,-1
update bad slow doesnt react disappoint good app,-1
whats point app manage subscription website want sign prime ridiculous prime app amazon app website possible wan na money,-1
time bought month come damage item half go sealed container wipp order book seller amazon need help accountable bad repeat service,-1
app literally failed start download app click sign init stall stallstill say login fail input choose create account stall forever,-1
longer possible download book app kindle app suppose use app make list use web browser download saved list ridiculous understand google playstore restriction app useless,-1
terrible app amazon wont support app app doesnt work theyve charge product theyve deliver impossible contact ive reinstall app multiple time log time try app crash tell log happen big company habe competition greedy lazy disgust thief,-1
good delivery thing think existed plus day delivery stream tv book best thing subscribe,1
awesome service time deal amazon thank worker customer service delivery driver,1
hi love amazon app pretty good take time need extremely irritate alexa button right corner block view open try press rid use alexa anybody know disable thank,-1
love amazon service quick delivery setback cost shipping,1
shop amazon tricky pleasant time get understand work open eye sense offer time lose good offer fast get,1
great lately say package deliver day package arrive arrives amazon get big start lack attentiveness,1
wont let add alexa bug happy look updates week uninstaled app reinstall working,-1
purchase kindle book shop app hear nonsense rort visit website google need pull head let people use app shopping include kindle book purchase whats difference purchase purchase google try force ereaders odd inconvenience people like appear google force company bill disgust,-1
